ID;answered_all;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_isolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
3121;Yes;1556;14/05/2020 00:48;PT-BR;44;Male;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;RJ;Married/cohabiting;1;Yes;Isolated;1;1;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;Not sure;4;4;4;3;2;3;2;2;4;3;3;3;4;4;6;1;1;3;1;4;1;3;5;5;4;4;0;6;6;5;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;5;6;2;6;6;6;4;4;5;1;2;5;6;5;6;6;4;5;4;4;6;4;5;4;4;4;6;6;2;5;6;1;6;1;6;6;A questao cultural;5;5;2;4;5;6;5;5;6;5;4;5;3;5;4;4;4;4;4;4;5;3;1;4;4;5;NA;4;4;6;4;6;3;A Questao da prestaçao de serviços!;3.7;3.33333333333333;3.33333333333333;5.33333333333333;6;4;3.66666666666667;4.8;NA
3126;Yes;1625;14/05/2020 00:24;PT-BR;57;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;rio de janeiro;Married/cohabiting;3;Yes;Isolated;3;0;NA;· If Program C is adopted 400 people will die.;No;3;4;5;3;1;2;5;3;3;3;4;2;4;2;8;0;1;0;3;10;0;6;6;6;6;6;0;5;1;1;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;6;6;4;5;6;6;1;6;6;6;1;6;6;2;5;6;5;1;4;1;1;6;6;6;6;6;6;1;1;3;5;4;6;2;4;1;NA;6;5;5;5;3;4;5;6;6;6;1;5;6;5;5;5;4;5;4;6;5;1;5;6;6;1;NA;5;6;6;5;5;1;A irrresponsa bilidade do povo brasileiro o s absudos pregados pelo presidente do Brasil;3.2;3.33333333333333;3;5;5.66666666666667;6;6;5.1;NA
3146;Yes;834;13/05/2020 22:50;PT-BR;40;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;No;Life carries on with minor changes;1;1;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;Yes;5;3;3;3;1;5;5;2;5;5;4;2;3;6;3;8;4;2;0;0;10;2;4;1;4;1;10;5;1;1;6;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;2;6;6;4;5;4;6;4;4;6;4;5;5;2;3;6;2;6;6;2;1;6;6;4;3;4;5;1;4;6;2;6;5;6;2;6;4;NA;5;6;4;5;5;6;4;5;5;5;5;4;6;6;5;6;2;3;4;2;2;1;5;5;5;6;NA;6;4;2;5;2;5;NA;3.9;3;5.33333333333333;5;5;4.33333333333333;3.66666666666667;5;NA
3174;No;1023;14/05/2020 20:53;PT-BR;59;Female;Up to 12 years of school;Up to 9 years of school;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;2;1;· If Program A is adopted, 200 people will be saved.;NA;Yes;4;3;4;2;2;3;3;3;4;3;4;NA;NA;7;7;8;8;6;6;1;9;2;2;2;1;2;8;5;5;3;2;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;2;4;4;5;6;4;4;5;4;5;5;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.5;4;4.66666666666667;3.33333333333333;4.66666666666667;3.66666666666667;5;NA;NA
3184;No;619;14/05/2020 20:32;PT-BR;42;Male;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;1;1;· If Program A is adopted, 200 people will be saved.;NA;No;3;3;2;5;3;1;5;5;2;1;3;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;1;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;4;NA;5;5;5;NA;4;NA;5;4;NA;5;5;5;6;6;6;4;5;4;5;6;6;6;5;6;5;4;6;4;6;5;5;5;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;2.33333333333333;3;3;5;4;4.5;NA;NA
3188;Yes;1511;13/05/2020 20:56;PT-BR;44;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;rio de janeiro;Married/cohabiting;2;Yes;Isolated;1;2;NA;· If Program C is adopted 400 people will die.;No;3;2;4;3;2;3;3;2;2;3;2;3;3;7;9;5;6;8;5;6;5;6;6;6;5;5;6;6;6;6;1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;6;6;6;1;4;5;4;4;6;6;5;5;6;5;5;6;5;5;6;5;5;5;5;6;5;5;5;4;5;1;2;6;3;5;1;6;6;NA;6;5;6;6;6;6;6;6;6;6;6;1;6;1;6;5;5;5;6;5;5;6;5;6;6;6;NA;6;6;6;6;6;6;NA;3.1;2.66666666666667;2.66666666666667;6;4.33333333333333;5;4.33333333333333;5.9;NA
3189;No;2050;13/05/2020 20:42;PT-BR;53;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;Yes;4;3;3;4;1;3;3;3;4;3;4;3;4;5;5;0;3;3;0;3;0;6;6;6;6;6;0;3;6;6;5;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;5;5;6;5;5;6;4;4;6;2;5;6;3;5;5;5;5;4;5;4;99;3;3;6;6;5;5;5;4;2;6;3;3;4;6;5;NA;5;4;5;6;4;5;1;5;5;5;1;4;5;3;2;2;NA;5;6;5;NA;1;5;5;5;2;NA;NA;NA;4;4;4;NA;NA;3.3;3.66666666666667;3.66666666666667;3.66666666666667;5.33333333333333;4.33333333333333;3.33333333333333;4.5;NA
3203;No;819;14/05/2020 19:58;PT-BR;37;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;RJ;Divorced/widowed;1;Yes;Isolated;4;1;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;2;3;3;3;4;3;4;2;2;2;2;2;3;5;8;1;5;5;6;7;2;5;5;5;5;5;0;6;6;5;1;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;6;4;4;6;6;6;3;4;4;4;4;5;2;3;4;4;3;3;3;4;3;5;2;6;6;4;4;4;4;3;5;3;5;1;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.6;2.33333333333333;3.33333333333333;4.33333333333333;6;4;4;NA;NA
3218;No;309;14/05/2020 19:24;PT-BR;29;Female;Up to 12 years of school;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;1;2;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;Not sure;5;5;5;3;1;3;3;1;5;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.2;1;NA;NA;NA;NA;NA;NA;NA
3220;Yes;1095;13/05/2020 19:27;PT-BR;39;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Isolated;3;2;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;3;3;4;3;2;3;3;2;4;2;3;3;4;6;7;1;5;6;8;9;1;6;5;5;3;6;0;6;6;6;5;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;6;6;5;6;5;3;2;2;4;5;4;3;5;6;6;6;6;5;5;4;6;6;6;4;6;6;4;4;3;4;5;4;5;6;2;6;5;NA;5;5;5;5;5;5;5;5;5;6;1;6;5;5;5;5;2;1;5;5;6;1;5;6;4;1;NA;5;6;5;3;2;1;NA;3.3;3.33333333333333;3.33333333333333;4;3.33333333333333;4.66666666666667;4.33333333333333;5.1;NA
3227;No;1191;13/05/2020 19:16;PT-BR;52;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;2;NA;NA;· If Program C is adopted 400 people will die.;No;3;2;3;4;3;2;4;4;3;2;3;2;3;5;7;0;3;4;4;7;0;1;1;1;4;2;0;6;6;6;1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;5;4;3;5;3;4;2;3;4;4;5;2;6;4;4;5;2;3;3;1;4;1;4;1;6;6;6;1;1;2;3;2;4;5;2;6;1;NA;5;4;4;4;4;5;5;2;5;5;1;2;5;1;5;4;1;2;5;4;4;1;5;5;5;1;NA;1;5;5;4;4;1;NA;2.4;2.66666666666667;2.66666666666667;3;3;4;5.33333333333333;4.3;NA
3256;No;1086;14/05/2020 18:56;PT-BR;60;Female;Up to 9 years of school;Up to 6 years of school;Retired;Brazil;no;NA;Divorced/widowed;0;Yes;Isolated;2;0;· If Program A is adopted, 200 people will be saved.;NA;Yes;4;4;4;3;1;4;4;2;3;3;1;1;5;8;10;NA;8;4;NA;8;NA;NA;NA;NA;NA;NA;1;1;6;6;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;5;5;6;2;6;6;2;5;6;6;6;2;5;NA;NA;NA;NA;NA;5;NA;NA;99;NA;NA;5;NA;NA;NA;NA;99;6;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;2.33333333333333;3.33333333333333;5.33333333333333;4.66666666666667;4.66666666666667;5.33333333333333;NA;NA
